Time Box IPL IDF PCO PPS PPL PDF IZ ZS ZM ZL ZG BD BM BF KR FP FM FT FI CEP SF SE SC SL SO PNA PNE PNO SBA SBS SBO WHM WHH WHA WHB WHC WHO PB BB IB DL DR DC
0.000000e+00 0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 1 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 8.528887e+05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 7.597985e+10 3.914115e+03 1.756558e+08 2.960942e+06 2.376298e+04 0.000000e+00 1.536736e+02 1.536736e+02 2.689289e+03 2.343523e+01 1.569392e+02 1.475267e+03 3.765004e+02 1.267808e+02 6.876895e+02 1.344644e+02 2.038097e+03 2.189849e+02 3.611331e+01 3.192000e+01 3.192000e+01 3.192000e+01 3.841841e+00 8.528887e+05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 2 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.979123e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 7.597985e+10 3.914115e+03 4.278439e+08 2.960942e+06 2.376298e+04 0.000000e+00 3.743021e+02 3.743021e+02 6.550287e+03 5.708108e+01 3.822561e+02 3.593300e+03 9.170402e+02 3.087993e+02 1.675002e+03 3.275144e+02 4.964182e+03 5.333805e+02 8.796100e+01 3.192000e+01 3.192000e+01 3.192000e+01 9.357553e+00 1.979123e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 3 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 9.343154e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 7.597985e+10 3.914115e+03 1.715604e+09 2.960942e+06 2.376298e+04 0.000000e+00 1.500908e+03 1.500908e+03 2.626589e+04 2.288885e+02 1.532803e+03 1.440872e+04 3.677225e+03 1.238249e+03 6.716564e+03 1.313295e+03 1.990580e+04 2.138794e+03 3.527134e+02 3.192000e+01 3.192000e+01 3.192000e+01 3.752271e+01 9.343154e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 4 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.767903e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 7.597985e+10 3.914115e+03 3.367984e+08 2.960942e+06 2.376298e+04 0.000000e+00 2.946504e+02 2.946504e+02 5.156382e+03 4.493419e+01 3.009117e+02 2.828644e+03 7.218935e+02 2.430866e+02 1.318561e+03 2.578191e+02 3.907801e+03 4.198768e+02 6.924285e+01 3.192000e+01 3.192000e+01 3.192000e+01 7.366260e+00 1.767903e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 5 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.589100e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 7.597985e+10 3.914115e+03 6.670731e+08 2.960942e+06 2.376298e+04 0.000000e+00 5.835935e+02 5.835935e+02 1.021289e+04 8.899800e+01 5.959948e+02 5.602497e+03 1.429804e+03 4.814646e+02 2.611581e+03 5.106443e+02 7.739908e+03 8.316207e+02 1.371445e+02 3.192000e+01 3.192000e+01 3.192000e+01 1.458984e+01 3.589100e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 6 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 6.682927e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 7.597985e+10 3.914115e+03 1.224670e+09 2.960942e+06 2.376298e+04 0.000000e+00 1.071411e+03 1.071411e+03 1.874970e+04 1.633902e+02 1.094179e+03 1.028555e+04 2.624957e+03 8.839142e+02 4.794565e+03 9.374848e+02 1.420959e+04 1.526761e+03 2.517816e+02 3.192000e+01 3.192000e+01 3.192000e+01 2.678528e+01 6.682927e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 7 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.062441e+07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.085426e+11 5.591594e+03 3.715270e+08 4.229918e+06 3.394712e+04 0.000000e+00 2.942031e+02 2.942031e+02 5.148553e+03 4.486597e+01 3.004549e+02 2.824349e+03 7.207975e+02 2.427175e+02 1.316559e+03 2.574277e+02 3.901868e+03 4.192393e+02 6.913772e+01 4.560000e+01 4.560000e+01 4.560000e+01 7.355076e+00 1.062441e+07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 8 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.444873e+07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.085426e+11 5.591594e+03 1.177739e+09 4.229918e+06 3.394712e+04 0.000000e+00 9.326222e+02 9.326222e+02 1.632089e+04 1.422249e+02 9.524405e+02 8.953173e+03 2.284924e+03 7.694133e+02 4.173484e+03 8.160445e+02 1.236890e+04 1.328987e+03 2.191662e+02 4.560000e+01 4.560000e+01 4.560000e+01 2.331556e+01 3.444873e+07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 9 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.076437e+07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.085426e+11 5.591594e+03 1.812199e+09 4.229918e+06 3.394712e+04 0.000000e+00 1.435035e+03 1.435035e+03 2.511312e+04 2.188429e+02 1.465530e+03 1.377634e+04 3.515836e+03 1.183904e+03 6.421783e+03 1.255656e+03 1.903216e+04 2.044925e+03 3.372333e+02 4.560000e+01 4.560000e+01 4.560000e+01 3.587588e+01 5.076437e+07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
